# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3500, i.e. number of multipoles equal to 3499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  112       4.150479456829e-10       1.261450721948e-13      -4.174531734703e-12       0.000000000000e+00       7.453290472748e-12       1.138183785225e-12      -6.181292354519e-15 
  113       4.195352073400e-10       1.277524140013e-13      -4.259557976997e-12       0.000000000000e+00       7.277651220439e-12       1.117522253821e-12      -6.111376699916e-15 
  114       4.240408168836e-10       1.293166193483e-13      -4.343753929090e-12       0.000000000000e+00       7.107283069158e-12       1.097532242717e-12      -6.047428959815e-15 
  115       4.285639367247e-10       1.308360448405e-13      -4.427046567227e-12       0.000000000000e+00       6.942003345271e-12       1.078069486141e-12      -5.982100754863e-15 
  116       4.331036743156e-10       1.323090802432e-13      -4.509362707091e-12       0.000000000000e+00       6.781620734963e-12       1.058977469108e-12      -5.907794963956e-15 
  117       4.376591304858e-10       1.337341634229e-13      -4.590628448762e-12       0.000000000000e+00       6.625963096190e-12       1.040299541704e-12      -5.829704124974e-15 
  118       4.422293569775e-10       1.351097720200e-13      -4.670769474227e-12       0.000000000000e+00       6.474852505458e-12       1.022113057818e-12      -5.755051925191e-15 
  119       4.468134399838e-10       1.364344491415e-13      -4.749711072179e-12       0.000000000000e+00       6.328146510784e-12       1.004414357165e-12      -5.684532001219e-15 
  120       4.514103972020e-10       1.377067770706e-13      -4.827378264874e-12       0.000000000000e+00       6.185686869362e-12       9.871753321559e-13      -5.617082693146e-15 
  121       4.560191822999e-10       1.389253794148e-13      -4.903696207813e-12       0.000000000000e+00       6.047301047188e-12       9.703663081321e-13      -5.551575758636e-15 
  122       4.606388146925e-10       1.400889552206e-13      -4.978591272608e-12       0.000000000000e+00       5.912863953667e-12       9.539659590285e-13      -5.486884579948e-15 
  123       4.652682592367e-10       1.411962513488e-13      -5.051990145989e-12       0.000000000000e+00       5.782241706538e-12       9.379523179098e-13      -5.421820192532e-15 
  124       4.699064209899e-10       1.422460643098e-13      -5.123819900936e-12       0.000000000000e+00       5.655287420635e-12       9.223053150874e-13      -5.355400949173e-15 
  125       4.745522629342e-10       1.432372747002e-13      -5.194009169607e-12       0.000000000000e+00       5.531890202567e-12       9.070246354817e-13      -5.287768018393e-15 
  126       4.792046966283e-10       1.441688193635e-13      -5.262487164857e-12       0.000000000000e+00       5.411930331118e-12       8.921137184558e-13      -5.219371300290e-15 
