# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  133       5.121253225710e-10       1.495357875302e-13      -5.676538241124e-12       7.840591213515e-16       4.659100251067e-12       7.969006402992e-13      -4.736364309342e-15 
  134       5.167826116240e-10       1.499716024993e-13      -5.728424741689e-12       7.965190308964e-16       4.562780966419e-12       7.844067096477e-13      -4.667339178393e-15 
  135       5.214356824018e-10       1.503418375091e-13      -5.777977456201e-12       8.091016850006e-16       4.469005019511e-12       7.722126162971e-13      -4.599954836651e-15 
  136       5.260832717617e-10       1.506461984543e-13      -5.825132076721e-12       8.218078864630e-16       4.377683395742e-12       7.603375906083e-13      -4.534991078140e-15 
  137       5.307241634465e-10       1.508844880802e-13      -5.869826038931e-12       8.346384113922e-16       4.288745623297e-12       7.487560345448e-13      -4.471616057359e-15 
  138       5.353571045537e-10       1.510565915636e-13      -5.911997865949e-12       8.475940310638e-16       4.202115852719e-12       7.374281834118e-13      -4.408521956510e-15 
  139       5.399808025629e-10       1.511624782043e-13      -5.951587029594e-12       8.606755114381e-16       4.117712399642e-12       7.263194239227e-13      -4.344584515401e-15 
  140       5.445940079401e-10       1.512022205135e-13      -5.988534188049e-12       8.738835881585e-16       4.035472515671e-12       7.154274013499e-13      -4.279691392755e-15 
  141       5.491954371425e-10       1.511759803231e-13      -6.022781045195e-12       8.872189887562e-16       3.955329541186e-12       7.047575496855e-13      -4.213995782033e-15 
  142       5.537837706809e-10       1.510840077995e-13      -6.054270421878e-12       9.006824321875e-16       3.877211777525e-12       6.943098509878e-13      -4.147604915991e-15 
  143       5.583577315729e-10       1.509266515646e-13      -6.082946589577e-12       9.142746036077e-16       3.801063918623e-12       6.840640524589e-13      -4.080415933348e-15 
  144       5.629160122210e-10       1.507043529013e-13      -6.108755043700e-12       9.279961767360e-16       3.726827249319e-12       6.739929258169e-13      -4.012263714249e-15 
  145       5.674572730004e-10       1.504176472511e-13      -6.131642680674e-12       9.418478134095e-16       3.654438360907e-12       6.640805560758e-13      -3.943307623941e-15 
  146       5.719802178851e-10       1.500671733007e-13      -6.151558552518e-12       9.558301383188e-16       3.583846734336e-12       6.543649887802e-13      -3.875075343756e-15 
  147       5.764835240016e-10       1.496536681333e-13      -6.168453261111e-12       9.699437613677e-16       3.514998442842e-12       6.448996857960e-13      -3.809521322036e-15 
  148       5.809658400628e-10       1.491779655663e-13      -6.182278819874e-12       9.841892772950e-16       3.447835543036e-12       6.357131095046e-13      -3.747809054850e-15 
  149       5.854258583724e-10       1.486409943692e-13      -6.192988833686e-12       9.985672407193e-16       3.382311923891e-12       6.267245451713e-13      -3.687537539258e-15 
  150       5.898622477685e-10       1.480437832468e-13      -6.200538413481e-12       1.013078188181e-15       3.318378603562e-12       6.178202158503e-13      -3.625250549301e-15 
  151       5.942736523505e-10       1.473874633654e-13      -6.204884184892e-12       1.027722637640e-15       3.255983579127e-12       6.089214040631e-13      -3.558532620439e-15 
  152       5.986587605139e-10       1.466732690270e-13      -6.205984364766e-12       1.042501063547e-15       3.195087333847e-12       6.001143871114e-13      -3.489826659593e-15 
  153       6.030162406901e-10       1.459025404232e-13      -6.203798769591e-12       1.057413918828e-15       3.135648466992e-12       5.915325647875e-13      -3.422971337317e-15 
  154       6.073447390437e-10       1.450767208985e-13      -6.198288781680e-12       1.072461635046e-15       3.077622017754e-12       5.832763815521e-13      -3.360862823770e-15 
